,role,company_name,work_experience,location,skills,post_date,link
17,"Computer Operator /Data Entry -Airoli, NAVI Mumbai (Immediately Join",Success Hr Consultancy,2-3 Yrs,Navi Mumbai,"['Back Office Executive', 'Computer Operator', 'Data Entry', 'Office Assistance', 'Customer Relationship', 'Customer Support', 'Typing', 'Computer cum Data Entry Operator']",Just Now,https://www.naukri.com/job-listings-computer-operator-data-entry-airoli-navi-mumbai-immediately-join-success-hr-consultancy-navi-mumbai-2-to-3-years-260124007144
18,Urgent Hiring // Onboarding Trainer // Mumbai  & Ahmedabad,Cars24,2-7 Yrs,"Ahmedabad, Mumbai (All Areas)","['Training', 'Process Training', 'Trainer', 'NHT', 'TNA', 'OJT', 'Sales Training', 'TNI']",Few Hours Ago,https://www.naukri.com/job-listings-urgent-hiring-onboarding-trainer-mumbai-ahmedabad-cars24-ahmedabad-mumbai-all-areas-2-to-7-years-281223002842
19,Operations Specialist (Data Quality Managment-2),Deutsche Bank,5-9 Yrs,Bangalore/Bengaluru,"['Visual Basic', 'MATLAB', 'SQL', 'Python', 'data quality', 'data management', 'quality management', 'data analysis']",Few Hours Ago,https://www.naukri.com/job-listings-operations-specialist-data-quality-managment-2-deutsche-bank-ag-bangalore-bengaluru-5-to-9-years-260124907006
20,Sr Vice President- Analytics,VHR PROFESSIONAL SERVICES PRIVATE LIMITED    ,10-20 Yrs,"Singapore, Canada, United Kingdom (UK)","['Data Science', 'consulting', 'Artificial Intelligence', 'Data Management', 'Statistics', 'Analytics', 'Python', 'SQL']",Just Now,https://www.naukri.com/job-listings-sr-vice-president-analytics-vhr-professional-services-private-limited-singapore-canada-united-kingdom-uk-10-to-20-years-110521002190
21,Data Scientist Associate,VHR Professional Services,3-8 Yrs,"Singapore, Canada, United States (USA)","['Data Science', 'Data Engineering', 'Data Mining', 'Data', 'Engineering', 'Science']",Just Now,https://www.naukri.com/job-listings-data-scientist-associate-vhr-professional-services-singapore-canada-united-states-usa-3-to-8-years-070124001730
22,Data Scientist: Artificial Intelligence,IBM,3-7 Yrs,Bangalore/Bengaluru,"['Enterprise applications', 'Artificial Intelligence', 'Open source', 'Python', 'Investigation', 'Packaging', 'Data analytics', 'Data']",Just Now,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bangalore-bengaluru-3-to-7-years-270124900486
23,Process Analyst - Risk and Compliance,IBM,1-4 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Anti money laundering', 'Financial services', 'Due diligence', 'Document review', 'SAR', 'Process operations', 'Risk Compliance']",Just Now,https://www.naukri.com/job-listings-process-analyst-risk-and-compliance-ibm-india-pvt-limited-bangalore-bengaluru-1-to-4-years-270124900479
24,Sr Process Analyst - Risk and Compliance,IBM,2-5 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Anti money laundering', 'Financial services', 'Due diligence', 'Process operations', 'Data', 'Compliance', 'Process']",Just Now,https://www.naukri.com/job-listings-sr-process-analyst-risk-and-compliance-ibm-india-pvt-limited-bangalore-bengaluru-2-to-5-years-270124900478
25,Mis Executive,AUTOMOBILE DOCTOR INDIA,2-4 Yrs,"Noida, Uttar Pradesh, Faridabad, Haryana, Delhi / NCR","['MIS Development', 'MS Access', 'Advanced Excel', 'Management Information System', 'Excel Report Preparation', 'MIS Operations', 'MIS Reporting', 'Report preparation']",Just Now,https://www.naukri.com/job-listings-mis-executive-maruti-placement-service-noida-uttar-pradesh-faridabad-haryana-delhi-ncr-2-to-4-years-281223006407
26,Data Science-Data Designer,Accenture,5-10 Yrs,Kolkata,"['Data analysis', 'data science', 'Research', 'educational qualification', 'design research', 'solution development', 'Analysis', 'Design']",Just Now,https://www.naukri.com/job-listings-data-science-data-designer-accenture-solutions-pvt-ltd-kolkata-5-to-10-years-270124900358
27,Data Analysis & Interpretation-Security Delivery Lead,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['Training', 'SEC', 'Data analysis', 'Security services', 'data privacy', 'global delivery', 'educational qualification', 'Analysis']",Just Now,https://www.naukri.com/job-listings-data-analysis-interpretation-security-delivery-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-270124900337
28,Industry Subject Matter Advisor,Accenture,5-8 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru","['Supply chain', 'Data analysis', 'Business analysis', 'Microsoft applications', 'SQL', 'Solution design', 'Microsoft', 'Design']",Just Now,https://www.naukri.com/job-listings-industry-subject-matter-advisor-accenture-solutions-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-5-to-8-years-270124900292
29,Data Analysis & Interpretation-Application Developer,Accenture,1-3 Yrs,Bangalore/Bengaluru,"['SAP', 'Datastage', 'Informatica', 'Data warehousing', 'SQL', 'Data analysis', 'Ab Initio', 'Python']",Just Now,https://www.naukri.com/job-listings-data-analysis-interpretation-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-1-to-3-years-270124900155
30,GN - SONG - ACE - Genesys - Manager,Accenture,10-12 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Machine learning', 'Asset management', 'Financial services', 'Strategy consulting', 'Reinsurance', 'Client engagement', 'Operations']",Just Now,https://www.naukri.com/job-listings-gn-song-ace-genesys-manager-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-12-years-270124900029
31,Security Quality Assurance-Security Architect,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['Data analysis', 'cloud security', 'Sharepoint', 'Architecture', 'Transition', 'power bi', 'Transit', 'Bi']",Just Now,https://www.naukri.com/job-listings-security-quality-assurance-security-architect-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-260124907388
32,Adobe Target-Application Lead,Accenture,5-10 Yrs,Gurgaon/Gurugram,"['Data analysis', 'Web development', 'Javascript', 'HTML', 'Information technology', 'Customer satisfaction', 'Digital marketing', 'Technology']",Just Now,https://www.naukri.com/job-listings-adobe-target-application-lead-accenture-solutions-pvt-ltd-gurgaon-gurugram-5-to-10-years-260124907332
33,Teradata Administration-Application Developer,Accenture,2-5 Yrs,Mumbai,"['Unix', 'Automation', 'Shell scripting', 'Teradata', 'Python', 'Performance tuning', 'Data analysis', 'Data modeling']",Just Now,https://www.naukri.com/job-listings-teradata-administration-application-developer-accenture-solutions-pvt-ltd-mumbai-2-to-5-years-260124907288
34,Senior Product Designer - Prototyping Tools,Benovymed Healthcare,2-7 Yrs,"Gurgaon/Gurugram, Delhi / NCR","['Prototyping Tools', 'InDesign', 'UX', 'Product Design', 'Infographics', 'UI Design']",Just Now,https://www.naukri.com/job-listings-senior-product-designer-prototyping-tools-benovymed-healthcare-gurgaon-gurugram-delhi-ncr-2-to-7-years-260124907239
35,Associate - Supply Chain,Bharatrohan,2-4 Yrs,Gurgaon/Gurugram,"['Supply Chain', 'Procurement', 'Supply chain management', 'Order processing', 'Logistics', 'Processing', 'Supply', 'Order fulfillment']",Just Now,https://www.naukri.com/job-listings-associate-supply-chain-bharatrohan-gurgaon-gurugram-2-to-4-years-260124907172
36,"QC Engineer - Rabale, Navi Mumbai",Success Hr Consultancy,3-4 Yrs,Navi Mumbai,"['QC Engineer', 'Incoming Quality Control', 'Inprocess Inspection', 'Measuring Instrument', 'Final Inspection', 'QC Engineering', 'Quality Engineering', 'QC']",Just Now,https://www.naukri.com/job-listings-qc-engineer-rabale-navi-mumbai-success-hr-consultancy-navi-mumbai-3-to-4-years-260124007154
37,"Computer Operator /Data Entry -Airoli, NAVI Mumbai (Immediately Join",Success Hr Consultancy,2-3 Yrs,Navi Mumbai,"['Back Office Executive', 'Computer Operator', 'Data Entry', 'Office Assistance', 'Customer Relationship', 'Customer Support', 'Typing', 'Computer cum Data Entry Operator']",Just Now,https://www.naukri.com/job-listings-computer-operator-data-entry-airoli-navi-mumbai-immediately-join-success-hr-consultancy-navi-mumbai-2-to-3-years-260124007144
